Unnamed: 0,syd,did,wei,symptom,diagnose
876,121.0,601.0,,tremors,prescription drug abuse
877,275.0,601.0,,low back ache or pain,prescription drug abuse
878,4.0,677.0,1.0,alcohol abuse,schizophrenia:chronic impaired reality perception
879,5.0,677.0,1.0,anxiety (nervousness),schizophrenia:chronic impaired reality perception
880,15.0,677.0,1.0,change in behavior,schizophrenia:chronic impaired reality perception
881,19.0,677.0,1.0,depressed,schizophrenia:chronic impaired reality perception
882,38.0,677.0,3.0,delusions or hallucinations,schizophrenia:chronic impaired reality perception
883,51.0,677.0,1.0,insomnia (trouble sleeping),schizophrenia:chronic impaired reality perception
884,79.0,677.0,2.0,psychiatric problem,schizophrenia:chronic impaired reality perception
885,97.0,677.0,2.0,suicidal tendencies,schizophrenia:chronic impaired reality perception
886,121.0,677.0,1.0,tremors,schizophrenia:chronic impaired reality perception
887,146.0,677.0,1.0,learning difficulties,schizophrenia:chronic impaired reality perception
888,240.0,677.0,1.0,memory loss,schizophrenia:chronic impaired reality perception
889,5.0,93.0,1.0,anxiety (nervousness),bipolar disorder:manic depressive disorder
890,15.0,93.0,0.0,change in behavior,bipolar disorder:manic depressive disorder
891,19.0,93.0,2.0,depressed,bipolar disorder:manic depressive disorder
892,38.0,93.0,0.0,delusions or hallucinations,bipolar disorder:manic depressive disorder
893,41.0,93.0,0.0,headache,bipolar disorder:manic depressive disorder
894,51.0,93.0,0.0,insomnia (trouble sleeping),bipolar disorder:manic depressive disorder
895,79.0,93.0,1.0,psychiatric problem,bipolar disorder:manic depressive disorder
896,96.0,93.0,0.0,substance abuse (drug abuse),bipolar disorder:manic depressive disorder
897,146.0,93.0,2.0,learning difficulties,bipolar disorder:manic depressive disorder
898,265.0,93.0,1.0,anger,bipolar disorder:manic depressive disorder
899,5.0,372.0,1.0,anxiety (nervousness),hypoglycemia:low blood sugar
900,15.0,372.0,3.0,change in behavior,hypoglycemia:low blood sugar
901,21.0,372.0,1.0,dizziness,hypoglycemia:low blood sugar
902,28.0,372.0,3.0,fainting,hypoglycemia:low blood sugar
903,87.0,372.0,3.0,seizure,hypoglycemia:low blood sugar
904,94.0,372.0,3.0,speech problem,hypoglycemia:low blood sugar
905,114.0,372.0,3.0,general weakness,hypoglycemia:low blood sugar
906,121.0,372.0,3.0,tremors,hypoglycemia:low blood sugar
908,164.0,372.0,3.0,loss of balance,hypoglycemia:low blood sugar
909,170.0,372.0,2.0,cyanosis (blue skin coloration),hypoglycemia:low blood sugar
910,235.0,372.0,3.0,sweating,hypoglycemia:low blood sugar
911,292.0,372.0,3.0,confusion,hypoglycemia:low blood sugar
912,282.0,372.0,3.0,excessive appetite,hypoglycemia:low blood sugar
913,5.0,378.0,2.0,anxiety (nervousness),hypoxia:lack of oxygen
914,15.0,378.0,3.0,change in behavior,hypoxia:lack of oxygen
915,88.0,378.0,1.0,shortness of breath,hypoxia:lack of oxygen
916,170.0,378.0,3.0,cyanosis (blue skin coloration),hypoxia:lack of oxygen
917,292.0,378.0,3.0,confusion,hypoxia:lack of oxygen
918,5.0,520.0,0.0,anxiety (nervousness),"obsessive compulsive disorder:ocd, anxiety disorder"
919,15.0,520.0,0.0,change in behavior,"obsessive compulsive disorder:ocd, anxiety disorder"
920,19.0,520.0,0.0,depressed,"obsessive compulsive disorder:ocd, anxiety disorder"
921,79.0,520.0,0.0,psychiatric problem,"obsessive compulsive disorder:ocd, anxiety disorder"
922,5.0,548.0,1.0,anxiety (nervousness),panic disorder
923,15.0,548.0,,change in behavior,panic disorder
924,19.0,548.0,,depressed,panic disorder
925,21.0,548.0,,dizziness,panic disorder
926,66.0,548.0,,nausea,panic disorder
927,79.0,548.0,1.0,psychiatric problem,panic disorder
928,88.0,548.0,,shortness of breath,panic disorder
929,121.0,548.0,,tremors,panic disorder
930,136.0,548.0,2.0,behavioral problem,panic disorder
931,209.0,548.0,2.0,hot flashes,panic disorder
932,262.0,548.0,,chest pain,panic disorder
933,304.0,548.0,0.0,high blood pressure,panic disorder
934,5.0,595.0,2.0,anxiety (nervousness),post-traumatic stress disorder:ptsd
935,15.0,595.0,,change in behavior,post-traumatic stress disorder:ptsd
936,19.0,595.0,1.0,depressed,post-traumatic stress disorder:ptsd
937,38.0,595.0,,delusions or hallucinations,post-traumatic stress disorder:ptsd
938,51.0,595.0,,insomnia (trouble sleeping),post-traumatic stress disorder:ptsd
939,79.0,595.0,2.0,psychiatric problem,post-traumatic stress disorder:ptsd
940,265.0,595.0,1.0,anger,post-traumatic stress disorder:ptsd
941,5.0,732.0,1.0,anxiety (nervousness),stress
942,13.0,732.0,,chest pressure,stress
943,15.0,732.0,,change in behavior,stress
944,19.0,732.0,,depressed,stress
945,21.0,732.0,,dizziness,stress
946,41.0,732.0,,headache,stress
947,51.0,732.0,,insomnia (trouble sleeping),stress
948,70.0,732.0,,obesity,stress
949,88.0,732.0,,shortness of breath,stress
950,96.0,732.0,,substance abuse (drug abuse),stress
951,116.0,732.0,2.0,tired,stress
952,136.0,732.0,0.0,behavioral problem,stress
953,188.0,732.0,1.0,impotence,stress
954,199.0,732.0,2.0,amenorrhea (no menstruation),stress
955,211.0,732.0,1.0,infertility (female),stress
956,235.0,732.0,2.0,sweating,stress
957,262.0,732.0,,chest pain,stress
958,265.0,732.0,1.0,anger,stress
959,5.0,33.0,1.0,anxiety (nervousness),amphetamine abuse
960,21.0,33.0,1.0,dizziness,amphetamine abuse
961,38.0,33.0,2.0,delusions or hallucinations,amphetamine abuse
962,41.0,33.0,1.0,headache,amphetamine abuse
964,51.0,33.0,2.0,insomnia (trouble sleeping),amphetamine abuse
965,96.0,33.0,1.0,substance abuse (drug abuse),amphetamine abuse
966,5.0,19.0,0.0,anxiety (nervousness),adjustment disorder: (poor adjustment to life stressor)
967,15.0,19.0,0.0,change in behavior,adjustment disorder: (poor adjustment to life stressor)
968,19.0,19.0,0.0,depressed,adjustment disorder: (poor adjustment to life stressor)
969,21.0,19.0,0.0,dizziness,adjustment disorder: (poor adjustment to life stressor)
970,38.0,19.0,0.0,delusions or hallucinations,adjustment disorder: (poor adjustment to life stressor)
971,51.0,19.0,0.0,insomnia (trouble sleeping),adjustment disorder: (poor adjustment to life stressor)
972,79.0,19.0,1.0,psychiatric problem,adjustment disorder: (poor adjustment to life stressor)
973,96.0,19.0,0.0,substance abuse (drug abuse),adjustment disorder: (poor adjustment to life stressor)
974,136.0,19.0,2.0,behavioral problem,adjustment disorder: (poor adjustment to life stressor)
975,146.0,19.0,2.0,learning difficulties,adjustment disorder: (poor adjustment to life stressor)
976,5.0,51.0,0.0,anxiety (nervousness),anxiety disorder:generalized anxiety disorder:gad
977,13.0,51.0,0.0,chest pressure,anxiety disorder:generalized anxiety disorder:gad
978,15.0,51.0,0.0,change in behavior,anxiety disorder:generalized anxiety disorder:gad
979,19.0,51.0,0.0,depressed,anxiety disorder:generalized anxiety disorder:gad
980,21.0,51.0,0.0,dizziness,anxiety disorder:generalized anxiety disorder:gad
981,28.0,51.0,0.0,fainting,anxiety disorder:generalized anxiety disorder:gad
982,38.0,51.0,0.0,delusions or hallucinations,anxiety disorder:generalized anxiety disorder:gad
983,41.0,51.0,0.0,headache,anxiety disorder:generalized anxiety disorder:gad
984,51.0,51.0,0.0,insomnia (trouble sleeping),anxiety disorder:generalized anxiety disorder:gad
985,66.0,51.0,0.0,nausea,anxiety disorder:generalized anxiety disorder:gad
986,70.0,51.0,0.0,obesity,anxiety disorder:generalized anxiety disorder:gad
987,79.0,51.0,2.0,psychiatric problem,anxiety disorder:generalized anxiety disorder:gad
988,88.0,51.0,0.0,shortness of breath,anxiety disorder:generalized anxiety disorder:gad
989,96.0,51.0,0.0,substance abuse (drug abuse),anxiety disorder:generalized anxiety disorder:gad
990,113.0,51.0,0.0,vomiting,anxiety disorder:generalized anxiety disorder:gad
991,121.0,51.0,0.0,tremors,anxiety disorder:generalized anxiety disorder:gad
992,136.0,51.0,2.0,behavioral problem,anxiety disorder:generalized anxiety disorder:gad
993,146.0,51.0,2.0,learning difficulties,anxiety disorder:generalized anxiety disorder:gad
994,262.0,51.0,0.0,chest pain,anxiety disorder:generalized anxiety disorder:gad
995,264.0,51.0,0.0,stomach and abdominal pain,anxiety disorder:generalized anxiety disorder:gad
996,265.0,51.0,0.0,anger,anxiety disorder:generalized anxiety disorder:gad
997,304.0,51.0,1.0,high blood pressure,anxiety disorder:generalized anxiety disorder:gad
998,282.0,51.0,1.0,excessive appetite,anxiety disorder:generalized anxiety disorder:gad
999,5.0,59.0,1.0,anxiety (nervousness),arrhythmia:abnormal heart rhythm
1000,13.0,59.0,1.0,chest pressure,arrhythmia:abnormal heart rhythm
1001,21.0,59.0,3.0,dizziness,arrhythmia:abnormal heart rhythm
1002,28.0,59.0,3.0,fainting,arrhythmia:abnormal heart rhythm
1003,36.0,59.0,1.0,"cranky, crying, fussy, irritable child",arrhythmia:abnormal heart rhythm
1004,88.0,59.0,1.0,shortness of breath,arrhythmia:abnormal heart rhythm
1005,207.0,59.0,3.0,low heart rate,arrhythmia:abnormal heart rhythm
1006,262.0,59.0,2.0,chest pain,arrhythmia:abnormal heart rhythm
1007,5.0,101.0,0.0,anxiety (nervousness),body dysmorphic disorder:body appearance obsession
1008,79.0,101.0,0.0,psychiatric problem,body dysmorphic disorder:body appearance obsession
1009,5.0,225.0,1.0,anxiety (nervousness),drug overuse:prescription drug overuse
1010,15.0,225.0,2.0,change in behavior,drug overuse:prescription drug overuse
1011,59.0,225.0,2.0,lethargy (sluggishness),drug overuse:prescription drug overuse
1012,79.0,225.0,3.0,psychiatric problem,drug overuse:prescription drug overuse
1013,96.0,225.0,1.0,substance abuse (drug abuse),drug overuse:prescription drug overuse
1014,97.0,225.0,3.0,suicidal tendencies,drug overuse:prescription drug overuse
1015,123.0,225.0,1.0,"weight loss, unexplained",drug overuse:prescription drug overuse
1017,136.0,225.0,3.0,behavioral problem,drug overuse:prescription drug overuse
1018,240.0,225.0,3.0,memory loss,drug overuse:prescription drug overuse
1019,5.0,369.0,,anxiety (nervousness),hyperventilation:rapid breathing
1020,69.0,369.0,2.0,numbness,hyperventilation:rapid breathing
1021,79.0,369.0,2.0,psychiatric problem,hyperventilation:rapid breathing
1022,88.0,369.0,,shortness of breath,hyperventilation:rapid breathing
1023,176.0,369.0,2.0,hand numbness (paresthesias),hyperventilation:rapid breathing
1024,262.0,369.0,0.0,chest pain,hyperventilation:rapid breathing
1025,5.0,569.0,0.0,anxiety (nervousness),personality disorder:unhealthy patterns of thinking and behavior
1026,15.0,569.0,0.0,change in behavior,personality disorder:unhealthy patterns of thinking and behavior
1027,19.0,569.0,0.0,depressed,personality disorder:unhealthy patterns of thinking and behavior
1028,51.0,569.0,0.0,insomnia (trouble sleeping),personality disorder:unhealthy patterns of thinking and behavior
1029,79.0,569.0,1.0,psychiatric problem,personality disorder:unhealthy patterns of thinking and behavior
1030,136.0,569.0,0.0,behavioral problem,personality disorder:unhealthy patterns of thinking and behavior
1031,5.0,676.0,0.0,anxiety (nervousness),schizoaffective disorder:features of schizophrenia and mood disorder
1032,15.0,676.0,0.0,change in behavior,schizoaffective disorder:features of schizophrenia and mood disorder
1033,19.0,676.0,0.0,depressed,schizoaffective disorder:features of schizophrenia and mood disorder
1034,38.0,676.0,0.0,delusions or hallucinations,schizoaffective disorder:features of schizophrenia and mood disorder
1035,51.0,676.0,0.0,insomnia (trouble sleeping),schizoaffective disorder:features of schizophrenia and mood disorder
1036,79.0,676.0,1.0,psychiatric problem,schizoaffective disorder:features of schizophrenia and mood disorder
1037,96.0,676.0,0.0,substance abuse (drug abuse),schizoaffective disorder:features of schizophrenia and mood disorder
1038,146.0,676.0,0.0,learning difficulties,schizoaffective disorder:features of schizophrenia and mood disorder
1039,291.0,676.0,0.0,agitated,schizoaffective disorder:features of schizophrenia and mood disorder
1040,265.0,676.0,1.0,anger,schizoaffective disorder:features of schizophrenia and mood disorder
1041,5.0,878.0,,anxiety (nervousness),attention deficit hyperactivity disorder:adhd
1042,15.0,878.0,,change in behavior,attention deficit hyperactivity disorder:adhd
1043,19.0,878.0,,depressed,attention deficit hyperactivity disorder:adhd
1044,51.0,878.0,,insomnia (trouble sleeping),attention deficit hyperactivity disorder:adhd
1045,96.0,878.0,,substance abuse (drug abuse),attention deficit hyperactivity disorder:adhd
1046,136.0,878.0,1.0,behavioral problem,attention deficit hyperactivity disorder:adhd
1047,146.0,878.0,2.0,learning difficulties,attention deficit hyperactivity disorder:adhd
1048,5.0,1034.0,1.0,anxiety (nervousness),medication reaction
1049,15.0,1034.0,1.0,change in behavior,medication reaction
1050,16.0,1034.0,1.0,constipation,medication reaction
1051,20.0,1034.0,1.0,diarrhea,medication reaction
1052,21.0,1034.0,1.0,dizziness,medication reaction
1053,49.0,1034.0,1.0,incontinence (leaking urine),medication reaction
1054,51.0,1034.0,1.0,insomnia (trouble sleeping),medication reaction
1055,66.0,1034.0,1.0,nausea,medication reaction
1056,70.0,1034.0,1.0,obesity,medication reaction
1057,81.0,1034.0,1.0,rash,medication reaction
1058,96.0,1034.0,1.0,substance abuse (drug abuse),medication reaction
1059,113.0,1034.0,1.0,vomiting,medication reaction
1060,121.0,1034.0,1.0,tremors,medication reaction
1061,164.0,1034.0,3.0,loss of balance,medication reaction
1062,170.0,1034.0,3.0,cyanosis (blue skin coloration),medication reaction
1063,176.0,1034.0,3.0,hand numbness (paresthesias),medication reaction
1064,199.0,1034.0,2.0,amenorrhea (no menstruation),medication reaction
1065,204.0,1034.0,3.0,low blood sugar,medication reaction
1066,205.0,1034.0,3.0,low blood pressure,medication reaction
1067,207.0,1034.0,2.0,low heart rate,medication reaction
1068,208.0,1034.0,3.0,foot itching,medication reaction
1069,211.0,1034.0,3.0,infertility (female),medication reaction
1070,212.0,1034.0,3.0,increased facial hair,medication reaction
1074,225.0,1034.0,3.0,arm itching,medication reaction
1075,226.0,1034.0,3.0,hand redness,medication reaction
1076,227.0,1034.0,3.0,foot redness,medication reaction
1077,228.0,1034.0,3.0,arm redness,medication reaction
1078,229.0,1034.0,3.0,leg redness,medication reaction
1079,230.0,1034.0,3.0,hand itching,medication reaction
1080,231.0,1034.0,3.0,leg itching,medication reaction
1081,235.0,1034.0,3.0,sweating,medication reaction
1082,240.0,1034.0,3.0,memory loss,medication reaction
1083,243.0,1034.0,3.0,foot numbness (paresthesias),medication reaction
1084,246.0,1034.0,3.0,dementia,medication reaction
1085,246.0,1034.0,3.0,dementia,medication reaction
1086,249.0,1034.0,3.0,increased thirst,medication reaction
1087,250.0,1034.0,3.0,increased urination (polyuria),medication reaction
1088,291.0,1034.0,2.0,agitated,medication reaction
1089,295.0,1034.0,3.0,nipple discharge,medication reaction
1090,304.0,1034.0,1.0,high blood pressure,medication reaction
1091,306.0,1034.0,2.0,high blood sugar,medication reaction
1092,277.0,1034.0,2.0,unusual color or odor of urine,medication reaction
1093,5.0,1151.0,0.0,anxiety (nervousness),"dysthymia:depression, dysthymic disorder"
1094,13.0,1151.0,0.0,chest pressure,"dysthymia:depression, dysthymic disorder"
1095,15.0,1151.0,0.0,change in behavior,"dysthymia:depression, dysthymic disorder"
1096,19.0,1151.0,0.0,depressed,"dysthymia:depression, dysthymic disorder"
1097,51.0,1151.0,0.0,insomnia (trouble sleeping),"dysthymia:depression, dysthymic disorder"
1098,265.0,1151.0,1.0,anger,"dysthymia:depression, dysthymic disorder"
1099,5.0,1309.0,0.0,anxiety (nervousness),huntington disease:chorea
1100,19.0,1309.0,0.0,depressed,huntington disease:chorea
1101,94.0,1309.0,0.0,speech problem,huntington disease:chorea
1102,104.0,1309.0,0.0,unsteady gait (trouble walking),huntington disease:chorea
1103,240.0,1309.0,0.0,memory loss,huntington disease:chorea
1104,246.0,1309.0,0.0,dementia,huntington disease:chorea
1105,291.0,1309.0,0.0,agitated,huntington disease:chorea
1106,5.0,1415.0,0.0,anxiety (nervousness),hypoparathyroidism
1107,88.0,1415.0,0.0,shortness of breath,hypoparathyroidism
1108,186.0,1415.0,0.0,hair loss (baldness),hypoparathyroidism
1109,186.0,1415.0,0.0,hair loss (baldness),hypoparathyroidism
1110,205.0,1415.0,0.0,low blood pressure,hypoparathyroidism
1111,207.0,1415.0,0.0,low heart rate,hypoparathyroidism
1112,258.0,1415.0,0.0,dry skin,hypoparathyroidism
1113,5.0,1271.0,0.0,anxiety (nervousness),thyroid cyst
1114,67.0,1271.0,0.0,neck ache or pain,thyroid cyst
1115,68.0,1271.0,0.0,neck swelling,thyroid cyst
1116,88.0,1271.0,0.0,shortness of breath,thyroid cyst
1117,5.0,1469.0,0.0,anxiety (nervousness),complex partial seizures:psychomotor epilepsy
1118,121.0,1469.0,0.0,tremors,complex partial seizures:psychomotor epilepsy
1119,121.0,1469.0,0.0,tremors,complex partial seizures:psychomotor epilepsy
1120,6.0,204.0,1.0,arm ache or pain,"deep venous thrombosis:dvt, venous blood clot"
1121,12.0,204.0,2.0,calf pain,"deep venous thrombosis:dvt, venous blood clot"
1122,37.0,204.0,2.0,groin pain,"deep venous thrombosis:dvt, venous blood clot"
1123,57.0,204.0,2.0,leg ache or pain,"deep venous thrombosis:dvt, venous blood clot"
1124,58.0,204.0,2.0,swelling of both legs,"deep venous thrombosis:dvt, venous blood clot"
1125,177.0,204.0,1.0,ankle pain,"deep venous thrombosis:dvt, venous blood clot"
1126,196.0,204.0,2.0,foot swelling,"deep venous thrombosis:dvt, venous blood clot"
1127,213.0,204.0,2.0,arm swelling,"deep venous thrombosis:dvt, venous blood clot"
1128,214.0,204.0,2.0,calf swelling,"deep venous thrombosis:dvt, venous blood clot"
1129,226.0,204.0,1.0,hand redness,"deep venous thrombosis:dvt, venous blood clot"
1130,227.0,204.0,1.0,foot redness,"deep venous thrombosis:dvt, venous blood clot"
1131,228.0,204.0,3.0,arm redness,"deep venous thrombosis:dvt, venous blood clot"
1132,229.0,204.0,3.0,leg redness,"deep venous thrombosis:dvt, venous blood clot"
1133,233.0,204.0,3.0,upper leg pain,"deep venous thrombosis:dvt, venous blood clot"
1134,251.0,204.0,1.0,shin pain,"deep venous thrombosis:dvt, venous blood clot"
1135,263.0,204.0,1.0,skin infection,"deep venous thrombosis:dvt, venous blood clot"
1136,303.0,204.0,1.0,arm stiffness or tightness,"deep venous thrombosis:dvt, venous blood clot"
1137,261.0,204.0,1.0,elbow swelling,"deep venous thrombosis:dvt, venous blood clot"
1138,261.0,204.0,1.0,elbow swelling,"deep venous thrombosis:dvt, venous blood clot"
1139,6.0,302.0,2.0,arm ache or pain,fracture:broken bone
1140,7.0,302.0,0.0,back ache or pain,fracture:broken bone
1141,12.0,302.0,1.0,calf pain,fracture:broken bone
1142,25.0,302.0,2.0,elbow ache or pain,fracture:broken bone
1143,36.0,302.0,0.0,"cranky, crying, fussy, irritable child",fracture:broken bone
1144,39.0,302.0,0.0,"hand, finger ache or pain",fracture:broken bone
1145,42.0,302.0,2.0,heel pain,fracture:broken bone
1146,53.0,302.0,2.0,joint pain,fracture:broken bone
1147,55.0,302.0,0.0,knee pain,fracture:broken bone
1148,57.0,302.0,1.0,leg ache or pain,fracture:broken bone
1149,58.0,302.0,2.0,swelling of both legs,fracture:broken bone
1150,118.0,302.0,2.0,wrist pain,fracture:broken bone
1151,176.0,302.0,2.0,hand numbness (paresthesias),fracture:broken bone
1152,213.0,302.0,2.0,arm swelling,fracture:broken bone
1153,214.0,302.0,0.0,calf swelling,fracture:broken bone
1154,217.0,302.0,2.0,wrist swelling,fracture:broken bone
1155,233.0,302.0,2.0,upper leg pain,fracture:broken bone
1156,241.0,302.0,2.0,arm numbness (paresthesias),fracture:broken bone
1157,242.0,302.0,2.0,leg numbness (paresthesias),fracture:broken bone
1158,243.0,302.0,2.0,foot numbness (paresthesias),fracture:broken bone
1159,244.0,302.0,2.0,face numbness (paresthesias),fracture:broken bone
1160,248.0,302.0,2.0,limping in a child,fracture:broken bone
1161,251.0,302.0,2.0,shin pain,fracture:broken bone
1162,275.0,302.0,0.0,low back ache or pain,fracture:broken bone
1163,261.0,302.0,0.0,elbow swelling,fracture:broken bone
1164,6.0,321.0,0.0,arm ache or pain,gout:uric acid crystals in the joint causing inflammation
1165,12.0,321.0,0.0,calf pain,gout:uric acid crystals in the joint causing inflammation
1166,25.0,321.0,1.0,elbow ache or pain,gout:uric acid crystals in the joint causing inflammation
1168,35.0,321.0,1.0,foot pain,gout:uric acid crystals in the joint causing inflammation
1169,39.0,321.0,0.0,"hand, finger ache or pain",gout:uric acid crystals in the joint causing inflammation
1170,45.0,321.0,0.0,hip pain,gout:uric acid crystals in the joint causing inflammation
1171,53.0,321.0,1.0,joint pain,gout:uric acid crystals in the joint causing inflammation
1172,55.0,321.0,0.0,knee pain,gout:uric acid crystals in the joint causing inflammation
1173,57.0,321.0,0.0,leg ache or pain,gout:uric acid crystals in the joint causing inflammation
1174,58.0,321.0,0.0,swelling of both legs,gout:uric acid crystals in the joint causing inflammation
1175,100.0,321.0,0.0,toe pain,gout:uric acid crystals in the joint causing inflammation
1176,118.0,321.0,0.0,wrist pain,gout:uric acid crystals in the joint causing inflammation
1177,177.0,321.0,1.0,ankle pain,gout:uric acid crystals in the joint causing inflammation
1178,196.0,321.0,1.0,foot swelling,gout:uric acid crystals in the joint causing inflammation
1179,217.0,321.0,1.0,wrist swelling,gout:uric acid crystals in the joint causing inflammation
1180,233.0,321.0,0.0,upper leg pain,gout:uric acid crystals in the joint causing inflammation
1181,237.0,321.0,1.0,joint stiffness,gout:uric acid crystals in the joint causing inflammation
1183,6.0,350.0,0.0,arm ache or pain,"herniated disc:slipped disc, ruptured disc"
1184,7.0,350.0,1.0,back ache or pain,"herniated disc:slipped disc, ruptured disc"
1185,37.0,350.0,0.0,groin pain,"herniated disc:slipped disc, ruptured disc"
1186,41.0,350.0,0.0,headache,"herniated disc:slipped disc, ruptured disc"
1187,45.0,350.0,0.0,hip pain,"herniated disc:slipped disc, ruptured disc"
1188,57.0,350.0,0.0,leg ache or pain,"herniated disc:slipped disc, ruptured disc"
1189,67.0,350.0,1.0,neck ache or pain,"herniated disc:slipped disc, ruptured disc"
1190,89.0,350.0,0.0,shoulder ache or pain,"herniated disc:slipped disc, ruptured disc"
1191,104.0,350.0,0.0,unsteady gait (trouble walking),"herniated disc:slipped disc, ruptured disc"
1192,115.0,350.0,1.0,weakness (muscle localized),"herniated disc:slipped disc, ruptured disc"
1193,177.0,350.0,0.0,ankle pain,"herniated disc:slipped disc, ruptured disc"
1194,233.0,350.0,1.0,upper leg pain,"herniated disc:slipped disc, ruptured disc"
1195,241.0,350.0,1.0,arm numbness (paresthesias),"herniated disc:slipped disc, ruptured disc"
1196,242.0,350.0,1.0,leg numbness (paresthesias),"herniated disc:slipped disc, ruptured disc"
1197,243.0,350.0,1.0,foot numbness (paresthesias),"herniated disc:slipped disc, ruptured disc"
1198,275.0,350.0,1.0,low back ache or pain,"herniated disc:slipped disc, ruptured disc"
1199,6.0,492.0,2.0,arm ache or pain,myocardial infarction:heart attack
1200,13.0,492.0,2.0,chest pressure,myocardial infarction:heart attack
1201,32.0,492.0,1.0,flank pain,myocardial infarction:heart attack
1202,54.0,492.0,1.0,kidney pain (flank pain),myocardial infarction:heart attack
1203,66.0,492.0,1.0,nausea,myocardial infarction:heart attack
1204,73.0,492.0,2.0,heart pulsations and palpitations,myocardial infarction:heart attack
1205,88.0,492.0,2.0,shortness of breath,myocardial infarction:heart attack
1206,89.0,492.0,1.0,shoulder ache or pain,myocardial infarction:heart attack
1207,113.0,492.0,1.0,vomiting,myocardial infarction:heart attack
1208,170.0,492.0,1.0,cyanosis (blue skin coloration),myocardial infarction:heart attack
1209,187.0,492.0,2.0,jaw pain,myocardial infarction:heart attack
1210,189.0,492.0,1.0,heart murmur (abnormal heart sound),myocardial infarction:heart attack
1211,205.0,492.0,1.0,low blood pressure,myocardial infarction:heart attack
1212,262.0,492.0,2.0,chest pain,myocardial infarction:heart attack
1213,6.0,532.0,1.0,arm ache or pain,osteoarthritis:bone inflammation
1214,7.0,532.0,1.0,back ache or pain,osteoarthritis:bone inflammation
1215,25.0,532.0,1.0,elbow ache or pain,osteoarthritis:bone inflammation
1216,37.0,532.0,0.0,groin pain,osteoarthritis:bone inflammation
1217,39.0,532.0,0.0,"hand, finger ache or pain",osteoarthritis:bone inflammation
1218,45.0,532.0,1.0,hip pain,osteoarthritis:bone inflammation
1219,53.0,532.0,1.0,joint pain,osteoarthritis:bone inflammation
1220,55.0,532.0,1.0,knee pain,osteoarthritis:bone inflammation
1221,57.0,532.0,1.0,leg ache or pain,osteoarthritis:bone inflammation
1222,58.0,532.0,1.0,swelling of both legs,osteoarthritis:bone inflammation
1223,67.0,532.0,0.0,neck ache or pain,osteoarthritis:bone inflammation
1224,118.0,532.0,1.0,wrist pain,osteoarthritis:bone inflammation
1225,177.0,532.0,1.0,ankle pain,osteoarthritis:bone inflammation
1226,233.0,532.0,0.0,upper leg pain,osteoarthritis:bone inflammation
1227,237.0,532.0,1.0,joint stiffness,osteoarthritis:bone inflammation
1228,242.0,532.0,1.0,leg numbness (paresthesias),osteoarthritis:bone inflammation
1229,243.0,532.0,1.0,foot numbness (paresthesias),osteoarthritis:bone inflammation
1230,275.0,532.0,1.0,low back ache or pain,osteoarthritis:bone inflammation
1231,6.0,565.0,1.0,arm ache or pain,peripheral neuropathy:nerve damage
1232,7.0,565.0,0.0,back ache or pain,peripheral neuropathy:nerve damage
1233,25.0,565.0,0.0,elbow ache or pain,peripheral neuropathy:nerve damage
1234,35.0,565.0,1.0,foot pain,peripheral neuropathy:nerve damage
1235,39.0,565.0,0.0,"hand, finger ache or pain",peripheral neuropathy:nerve damage
1236,57.0,565.0,1.0,leg ache or pain,peripheral neuropathy:nerve damage
1237,67.0,565.0,0.0,neck ache or pain,peripheral neuropathy:nerve damage
1238,69.0,565.0,1.0,numbness,peripheral neuropathy:nerve damage
1239,100.0,565.0,0.0,toe pain,peripheral neuropathy:nerve damage
1240,114.0,565.0,0.0,general weakness,peripheral neuropathy:nerve damage
1241,121.0,565.0,0.0,tremors,peripheral neuropathy:nerve damage
1243,176.0,565.0,1.0,hand numbness (paresthesias),peripheral neuropathy:nerve damage
1244,233.0,565.0,2.0,upper leg pain,peripheral neuropathy:nerve damage
1245,241.0,565.0,1.0,arm numbness (paresthesias),peripheral neuropathy:nerve damage
1246,242.0,565.0,2.0,leg numbness (paresthesias),peripheral neuropathy:nerve damage
1247,243.0,565.0,2.0,foot numbness (paresthesias),peripheral neuropathy:nerve damage
1248,275.0,565.0,0.0,low back ache or pain,peripheral neuropathy:nerve damage
1249,6.0,662.0,1.0,arm ache or pain,rheumatoid arthritis:type of chronic joint inflammation
1250,7.0,662.0,0.0,back ache or pain,rheumatoid arthritis:type of chronic joint inflammation
1251,25.0,662.0,0.0,elbow ache or pain,rheumatoid arthritis:type of chronic joint inflammation
1252,39.0,662.0,0.0,"hand, finger ache or pain",rheumatoid arthritis:type of chronic joint inflammation
1253,53.0,662.0,1.0,joint pain,rheumatoid arthritis:type of chronic joint inflammation
1254,57.0,662.0,0.0,leg ache or pain,rheumatoid arthritis:type of chronic joint inflammation
1255,58.0,662.0,0.0,swelling of both legs,rheumatoid arthritis:type of chronic joint inflammation
1256,118.0,662.0,0.0,wrist pain,rheumatoid arthritis:type of chronic joint inflammation
1257,196.0,662.0,0.0,foot swelling,rheumatoid arthritis:type of chronic joint inflammation
1258,217.0,662.0,0.0,wrist swelling,rheumatoid arthritis:type of chronic joint inflammation
1259,233.0,662.0,1.0,upper leg pain,rheumatoid arthritis:type of chronic joint inflammation
1260,237.0,662.0,1.0,joint stiffness,rheumatoid arthritis:type of chronic joint inflammation
1261,6.0,689.0,2.0,arm ache or pain,septic arthritis:joint infection
